Date_reported,Country_code,Country,WHO_region,Covid_new_hospitalizations_last_7days,Covid_new_icu_admissions_last_7days,Covid_new_hospitalizations_last_28days,Covid_new_icu_admissions_last_28days
2021-04-18,DEU,GERMANY,EUR,7594.0,894.0,29025.0,3266.0
2020-08-30,TUV,TUVALU,WPR,,,,
2023-05-14,GIN,GUINEA,AFR,,,,
2021-02-21,NRU,NAURU,WPR,,,,
2022-06-12,ERI,ERITREA,AFR,,,,
2020-06-28,MHL,MARSHALL ISLANDS,WPR,,,,
2023-03-19,IND,INDIA,SEAR,,,,
2024-08-04,GRD,GRENADA,AMR,,,,
2022-01-02,SGP,SINGAPORE,WPR,,,,
2022-08-07,AZE,AZERBAIJAN,EUR,,,,
2023-12-17,GUF,FRENCH GUIANA,AMR,,,,
2021-07-18,XXF,International conveyance (American Samoa),OTHER,,,,
2021-09-05,PRY,PARAGUAY,AMR,,,,
2020-10-04,MWI,MALAWI,AFR,,,,
2024-08-18,LUX,LUXEMBOURG,EUR,,,,
2022-04-03,POL,POLAND,EUR,603.0,,2586.0,3.0
2022-01-16,ISL,ICELAND,EUR,24.0,,97.0,
2023-12-17,TJK,TAJIKISTAN,EUR,,,,
2022-10-30,ARE,UNITED ARAB EMIRATES,EMR,,,,
2024-09-29,CUW,CURAÇAO,AMR,,,,
2021-09-05,VEN,VENEZUELA (BOLIVARIAN REPUBLIC OF),AMR,,,56.0,
2024-07-07,MNP,NORTHERN MARIANA ISLANDS (COMMONWEALTH OF THE),WPR,,,,
2023-09-03,MEX,MEXICO,AMR,1740.0,5.0,6705.0,30.0
2020-01-26,SRB,SERBIA,EUR,,,,
2021-10-24,ATG,ANTIGUA AND BARBUDA,AMR,,,,
2024-11-17,DEU,GERMANY,EUR,,,,
2022-02-27,GUY,GUYANA,AMR,,,,
2022-07-17,NPL,NEPAL,SEAR,,,,
2020-03-08,MNP,NORTHERN MARIANA ISLANDS (COMMONWEALTH OF THE),WPR,,,,
2020-06-21,XXH,International conveyance (Vanuatu),OTHER,,,,
2022-02-13,DZA,ALGERIA,AFR,,,,
2022-09-18,JEY,JERSEY,EUR,,,,
2023-07-30,BHS,BAHAMAS,AMR,,,,
2021-04-25,XXH,International conveyance (Vanuatu),OTHER,,,,
2020-04-26,MEX,MEXICO,AMR,3741.0,440.0,12105.0,1306.0
2022-09-25,MLT,MALTA,EUR,1.0,,5.0,
2020-08-16,CHL,CHILE,AMR,1216.0,391.0,5462.0,1838.0
2021-06-13,BHS,BAHAMAS,AMR,11.0,0.0,87.0,3.0
2023-01-29,GIN,GUINEA,AFR,0.0,,3.0,
2021-02-28,MCO,MONACO,EUR,,,,
2022-03-13,GTM,GUATEMALA,AMR,,,,
2023-01-08,SUR,SURINAME,AMR,0.0,0.0,1.0,0.0
2025-04-06,CPV,CABO VERDE,AFR,,,,
2022-11-13,BWA,BOTSWANA,AFR,0.0,0.0,0.0,0.0
2022-07-24,UZB,UZBEKISTAN,EUR,184.0,0.0,985.0,4.0
2020-08-23,MNG,MONGOLIA,WPR,10.0,,125.0,
2023-09-03,DNK,DENMARK,EUR,158.0,,539.0,
2020-06-07,PRK,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,SEAR,,,0.0,
2021-01-10,AND,ANDORRA,EUR,,,,
2022-02-06,MAF,SAINT MARTIN,AMR,,,,
2020-10-18,BRN,BRUNEI DARUSSALAM,WPR,,,,
2022-06-12,WLF,WALLIS AND FUTUNA,WPR,,,,
2025-01-05,VCT,SAINT VINCENT AND THE GRENADINES,AMR,,,,
2021-05-09,MLT,MALTA,EUR,7.0,2.0,72.0,6.0
2022-12-11,COL,COLOMBIA,AMR,,,,
2022-03-27,XXG,International conveyance (Solomon Islands),OTHER,,,,
2024-03-24,CAN,CANADA,AMR,169.0,14.0,745.0,71.0
2022-04-24,GRL,GREENLAND,EUR,,,,
2022-04-17,UKR,UKRAINE,EUR,1152.0,154.0,7757.0,770.0
2024-09-01,FIN,FINLAND,EUR,,,,
2021-06-06,ISL,ICELAND,EUR,0.0,0.0,2.0,0.0
2022-08-14,HTI,HAITI,AMR,,,,
2022-12-25,GLP,GUADELOUPE,AMR,,,,
2021-04-11,KAZ,KAZAKHSTAN,EUR,,,,
2024-09-08,KEN,KENYA,AFR,,,,
2023-06-04,OMN,OMAN,EMR,,,,
2024-11-17,SXM,SINT MAARTEN,AMR,,,,
2023-11-05,VUT,VANUATU,WPR,,,,
2024-08-04,AIA,ANGUILLA,AMR,,,,
2024-05-12,ZAF,SOUTH AFRICA,AFR,,,,
2021-07-11,NIC,NICARAGUA,AMR,,,,
2022-02-13,TLS,TIMOR-LESTE,SEAR,555.0,,643.0,
2023-12-31,SSD,SOUTH SUDAN,AFR,,,,
2024-03-10,TKL,TOKELAU,WPR,,,,
2022-08-28,IRQ,IRAQ,EMR,,,,
2023-10-22,IMN,ISLE OF MAN,EUR,,,,
2023-11-12,MKD,NORTH MACEDONIA,EUR,16.0,1.0,54.0,1.0
2023-11-05,SSD,SOUTH SUDAN,AFR,,,,
2024-01-07,CAN,CANADA,AMR,601.0,58.0,2677.0,215.0
2023-10-15,WLF,WALLIS AND FUTUNA,WPR,,,,
2023-10-29,COK,COOK ISLANDS,WPR,,,,
2025-03-09,JPN,JAPAN,WPR,,,,
2020-09-20,SLV,EL SALVADOR,AMR,,,,
2022-06-26,BHR,BAHRAIN,EMR,28.0,,46.0,
2020-08-02,MSR,MONTSERRAT,AMR,,,,
2024-03-10,AGO,ANGOLA,AFR,0.0,0.0,0.0,0.0
2024-10-20,IRQ,IRAQ,EMR,,,,
2021-03-14,NCL,NEW CALEDONIA,WPR,,,,
2023-02-19,ESP,SPAIN,EUR,1083.0,45.0,4325.0,179.0
2020-03-08,SVK,SLOVAKIA,EUR,7.0,2.0,10.0,2.0
2024-09-15,CYP,CYPRUS,EUR,22.0,,126.0,7.0
2020-05-24,BOL,BOLIVIA (PLURINATIONAL STATE OF),AMR,,,,
2021-12-12,COK,COOK ISLANDS,WPR,,,,
2024-07-14,VEN,VENEZUELA (BOLIVARIAN REPUBLIC OF),AMR,,,,
2022-05-01,BRB,BARBADOS,AMR,,,,
2024-04-07,LSO,LESOTHO,AFR,,,,
2022-04-17,BHS,BAHAMAS,AMR,,,,
2025-03-23,RUS,RUSSIAN FEDERATION,EUR,,,1599.0,
2024-04-14,NOR,NORWAY,EUR,,1.0,,2.0
2023-06-04,BRA,BRAZIL,AMR,807.0,254.0,3491.0,1130.0
2020-06-14,TJK,TAJIKISTAN,EUR,,,,
2022-01-30,TKL,TOKELAU,WPR,,,,
2023-03-05,GRD,GRENADA,AMR,,,,
2022-06-05,ROU,ROMANIA,EUR,,,,
2022-08-07,KHM,CAMBODIA,WPR,,,,
2021-01-10,IMN,ISLE OF MAN,EUR,,,,
2020-11-08,XKX,Kosovo (in accordance with UN Security Council Resolution 1244 (1999)),EUR,,,,
2023-01-15,IRQ,IRAQ,EMR,,,,
2023-10-08,GGY,GUERNSEY,EUR,,,,
2022-08-21,DJI,DJIBOUTI,EMR,,,,
2023-02-26,MYT,MAYOTTE,AFR,,,,
2021-11-21,REU,RÉUNION,AFR,,,,
2023-08-13,IND,INDIA,SEAR,,,,
2021-04-11,BFA,BURKINA FASO,AFR,,,,
2023-03-12,MNP,NORTHERN MARIANA ISLANDS (COMMONWEALTH OF THE),WPR,,,,
2023-01-08,URY,URUGUAY,AMR,119.0,16.0,119.0,16.0
2025-04-06,MDG,MADAGASCAR,AFR,,,,
2021-08-15,ARM,ARMENIA,EUR,,,,
2023-05-14,GRL,GREENLAND,EUR,,,,
2022-08-07,BWA,BOTSWANA,AFR,,,1.0,
2022-11-13,BGR,BULGARIA,EUR,63.0,436.0,964.0,1625.0
2024-11-10,GRC,GREECE,EUR,538.0,10.0,2203.0,39.0
2024-06-16,THA,THAILAND,SEAR,2881.0,,9307.0,
2020-07-19,XXF,International conveyance (American Samoa),OTHER,,,,
2020-11-08,LIE,LIECHTENSTEIN,EUR,,,,
2025-02-16,NAM,NAMIBIA,AFR,,,,
2023-12-03,CAF,CENTRAL AFRICAN REPUBLIC,AFR,,,,
2020-08-16,GRC,GREECE,EUR,,12.0,,46.0
2020-09-06,MEX,MEXICO,AMR,6688.0,538.0,28039.0,2323.0
2024-09-22,IRQ,IRAQ,EMR,,,,
2023-12-17,GIN,GUINEA,AFR,,,,
2020-06-14,BOL,BOLIVIA (PLURINATIONAL STATE OF),AMR,,,,
2023-06-04,GAB,GABON,AFR,,,,
2022-07-31,NLD,NETHERLANDS,EUR,591.0,27.0,2869.0,132.0
2024-04-14,AND,ANDORRA,EUR,,,,
2022-01-30,KIR,KIRIBATI,WPR,,,,
2023-11-12,PRK,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,SEAR,0.0,0.0,0.0,0.0
2022-05-22,AFG,AFGHANISTAN,EMR,8.0,,44.0,
2024-06-16,LKA,SRI LANKA,SEAR,,,,
2024-07-14,VAT,HOLY SEE,EUR,,,,
2021-09-26,SUR,SURINAME,AMR,,,,
2024-02-18,CZE,CZECHIA,EUR,29.0,3.0,232.0,31.0
2022-04-10,PAN,PANAMA,AMR,,,,
2021-01-17,PLW,PALAU,WPR,,,,
2024-02-25,BRA,BRAZIL,AMR,1761.0,551.0,5255.0,1596.0
2025-03-30,MRT,MAURITANIA,AFR,,,,
2023-04-02,ABW,ARUBA,AMR,,,,
2020-01-19,SVN,SLOVENIA,EUR,,,,
2025-01-19,FIN,FINLAND,EUR,,,,
2021-07-04,SGP,SINGAPORE,WPR,,,,
2020-04-19,SWE,SWEDEN,EUR,1465.0,249.0,5683.0,1061.0
2022-01-02,GEO,GEORGIA,EUR,,,,
2020-07-26,DNK,DENMARK,EUR,20.0,,55.0,1.0
2022-08-07,GUM,GUAM,WPR,,,,
2020-05-31,MTQ,MARTINIQUE,AMR,,,,
2024-09-22,ZWE,ZIMBABWE,AFR,,,,
2020-10-04,TON,TONGA,WPR,,,,
2024-11-03,BEL,BELGIUM,EUR,,,,
2020-02-09,TON,TONGA,WPR,,,,
2021-11-07,ARM,ARMENIA,EUR,,,,
2024-01-14,VGB,BRITISH VIRGIN ISLANDS,AMR,0.0,0.0,0.0,0.0
2021-12-19,COM,COMOROS,AFR,,,,
2021-05-02,MHL,MARSHALL ISLANDS,WPR,,,,
2024-10-20,DNK,DENMARK,EUR,213.0,,816.0,
2023-03-19,DJI,DJIBOUTI,EMR,,,,
2022-03-27,PRT,PORTUGAL,EUR,1076.0,81.0,4093.0,247.0
2023-12-24,GNB,GUINEA-BISSAU,AFR,,,,
2022-12-18,AIA,ANGUILLA,AMR,,,,
2023-04-30,CHL,CHILE,AMR,140.0,8.0,847.0,64.0
2022-01-09,BEN,BENIN,AFR,,,,
2022-08-21,UZB,UZBEKISTAN,EUR,47.0,0.0,365.0,1.0
2020-11-01,MDG,MADAGASCAR,AFR,,,,
2025-04-06,TGO,TOGO,AFR,,,,
2022-03-13,IRQ,IRAQ,EMR,,,,
2021-12-19,PRI,PUERTO RICO,AMR,,,,
2021-01-24,DMA,DOMINICA,AMR,,,,
2021-05-16,PNG,PAPUA NEW GUINEA,WPR,,,,
2022-11-27,GRC,GREECE,EUR,1287.0,31.0,5400.0,136.0
2024-11-03,SYR,SYRIAN ARAB REPUBLIC,EMR,,,,
2025-01-05,AFG,AFGHANISTAN,EMR,,,,
2020-09-20,YEM,YEMEN,EMR,,,,
2025-04-27,TJK,TAJIKISTAN,EUR,,,,
2020-08-23,LSO,LESOTHO,AFR,,,,
2021-03-07,ECU,ECUADOR,AMR,791.0,,3066.0,
2020-11-29,TCD,CHAD,AFR,,,,
2023-12-03,AUS,AUSTRALIA,WPR,,,,
2021-07-18,FSM,MICRONESIA (FEDERATED STATES OF),WPR,,,,
2024-02-04,ARG,ARGENTINA,AMR,538.0,,1808.0,
2021-05-30,IRN,IRAN (ISLAMIC REPUBLIC OF),EMR,9892.0,,52570.0,
2022-06-19,GNB,GUINEA-BISSAU,AFR,,,,
2020-04-12,ETH,ETHIOPIA,AFR,,,,
2020-06-07,SOM,SOMALIA,EMR,,,1.0,
2023-04-16,CYP,CYPRUS,EUR,33.0,1.0,142.0,7.0
2022-09-18,ETH,ETHIOPIA,AFR,,,,
2020-10-04,SSD,SOUTH SUDAN,AFR,,,,
2020-12-20,MOZ,MOZAMBIQUE,AFR,,,,
2025-01-19,BMU,BERMUDA,AMR,,,,
2023-03-26,XXG,International conveyance (Solomon Islands),OTHER,,,,
2023-10-08,XXL,International commercial vessel,OTHER,,,,
2020-10-04,GBR,THE UNITED KINGDOM,EUR,,,,
2021-06-13,SAU,SAUDI ARABIA,EMR,,57.0,,300.0
2024-03-17,TKM,TURKMENISTAN,EUR,,,,
2023-05-07,COD,DEMOCRATIC REPUBLIC OF THE CONGO,AFR,,,,
2023-10-15,BLM,SAINT BARTHÉLEMY,AMR,,,,
2020-10-18,CHE,SWITZERLAND,EUR,622.0,,1150.0,
2022-10-23,UKR,UKRAINE,EUR,4341.0,155.0,22467.0,655.0
2024-12-22,ERI,ERITREA,AFR,,,,
2020-10-18,HTI,HAITI,AMR,,,,
2025-02-09,PRT,PORTUGAL,EUR,7.0,0.0,34.0,4.0
2020-09-06,SEN,SENEGAL,AFR,,,,
2024-11-17,VGB,BRITISH VIRGIN ISLANDS,AMR,0.0,0.0,0.0,0.0
2023-06-11,AUT,AUSTRIA,EUR,2.0,,11.0,
2022-03-27,HTI,HAITI,AMR,,,,
2020-06-28,ABW,ARUBA,AMR,1.0,0.0,1.0,0.0
2021-11-28,CRI,COSTA RICA,AMR,83.0,21.0,482.0,144.0
2022-09-25,GIN,GUINEA,AFR,12.0,,68.0,
2023-12-17,CAF,CENTRAL AFRICAN REPUBLIC,AFR,,,,
2020-10-11,COL,COLOMBIA,AMR,,,,
2025-01-19,DMA,DOMINICA,AMR,0.0,0.0,0.0,0.0
2021-12-12,COG,CONGO,AFR,,,,
2020-08-23,AND,ANDORRA,EUR,,,,
2021-07-04,DZA,ALGERIA,AFR,,,,
2022-04-03,MYT,MAYOTTE,AFR,,,,
2021-12-05,GMB,GAMBIA,AFR,,,,
2024-05-12,ROU,ROMANIA,EUR,,,,
2024-03-17,UKR,UKRAINE,EUR,3.0,1.0,8.0,3.0
2022-02-06,SUR,SURINAME,AMR,,,,
2022-12-25,XXH,International conveyance (Vanuatu),OTHER,,,,
2022-01-16,PAK,PAKISTAN,EMR,872.0,141.0,3051.0,205.0
2024-06-30,NAM,NAMIBIA,AFR,,,,
2022-06-19,SYR,SYRIAN ARAB REPUBLIC,EMR,,,,
2020-01-05,NIC,NICARAGUA,AMR,,,,
2023-04-02,ROU,ROMANIA,EUR,,,,
2021-08-22,LVA,LATVIA,EUR,44.0,16.0,170.0,67.0
2023-07-16,FSM,MICRONESIA (FEDERATED STATES OF),WPR,,,,
2020-10-25,LCA,SAINT LUCIA,AMR,6.0,,6.0,
2022-05-15,BES,"BONAIRE, SINT EUSTATIUS AND SABA",AMR,,,,
2024-01-07,OMN,OMAN,EMR,,,,
2024-11-10,TKL,TOKELAU,WPR,,,,
2021-05-09,BIH,BOSNIA AND HERZEGOVINA,EUR,,,,
2024-12-08,GHA,GHANA,AFR,,,,
2021-01-03,STP,SAO TOME AND PRINCIPE,AFR,,,,
2021-02-14,TUV,TUVALU,WPR,,,,
2022-05-15,BIH,BOSNIA AND HERZEGOVINA,EUR,19.0,0.0,151.0,8.0
2024-09-29,SLB,SOLOMON ISLANDS,WPR,,,,
2022-09-11,KOR,REPUBLIC OF KOREA,WPR,,,,
2021-08-08,DMA,DOMINICA,AMR,,,,
2024-01-14,MNE,MONTENEGRO,EUR,,,,
2020-12-20,BLR,BELARUS,EUR,,,,
2022-07-10,UKR,UKRAINE,EUR,364.0,44.0,1395.0,194.0
2021-03-07,CYM,CAYMAN ISLANDS,AMR,7.0,,48.0,
2021-01-31,ITA,ITALY,EUR,6840.0,974.0,32305.0,4575.0
2024-09-22,XXI,International conveyance (Kiribati),OTHER,,,,
2020-08-16,TKL,TOKELAU,WPR,,,,
2024-01-21,AUS,AUSTRALIA,WPR,,,,
2020-03-22,ALB,ALBANIA,EUR,20.0,,53.0,2.0
2023-01-29,MAF,SAINT MARTIN,AMR,,,,
2022-06-05,HND,HONDURAS,AMR,,,4.0,
2020-10-04,XXJ,International conveyance (Diamond Princess),OTHER,,,,
2020-01-19,GRL,GREENLAND,EUR,,,,
2021-03-07,REU,RÉUNION,AFR,,,,
2023-12-24,NIC,NICARAGUA,AMR,,,,
2021-01-10,ZAF,SOUTH AFRICA,AFR,,,,
2020-03-29,DOM,DOMINICAN REPUBLIC,AMR,9.0,21.0,20.0,45.0
2021-03-21,OMN,OMAN,EMR,255.0,,656.0,
2025-04-20,BDI,BURUNDI,AFR,,,,
2023-08-06,ETH,ETHIOPIA,AFR,,,,
2024-08-04,SYR,SYRIAN ARAB REPUBLIC,EMR,,,,
2020-03-22,SLV,EL SALVADOR,AMR,4.0,0.0,4.0,0.0
2020-11-22,WLF,WALLIS AND FUTUNA,WPR,,,,
2022-10-02,TKL,TOKELAU,WPR,,,,
2022-11-06,BWA,BOTSWANA,AFR,0.0,0.0,0.0,0.0
2022-08-21,AUS,AUSTRALIA,WPR,,,,
2021-03-21,KWT,KUWAIT,EMR,440.0,,919.0,
2021-11-21,DZA,ALGERIA,AFR,,,,
2020-02-09,GUF,FRENCH GUIANA,AMR,,,,
2022-04-03,GNQ,EQUATORIAL GUINEA,AFR,,,,
2021-10-10,DOM,DOMINICAN REPUBLIC,AMR,,0.0,,0.0
2022-11-13,MDV,MALDIVES,SEAR,,,,
2021-11-28,ARE,UNITED ARAB EMIRATES,EMR,,,,
2020-12-13,TKL,TOKELAU,WPR,,,,
2020-11-22,AFG,AFGHANISTAN,EMR,71.0,,500.0,
2022-07-10,IRL,IRELAND,EUR,1031.0,4.0,3298.0,22.0
2023-01-01,VIR,UNITED STATES VIRGIN ISLANDS,AMR,,,,
2022-08-21,PRI,PUERTO RICO,AMR,,,,
2023-12-17,PRY,PARAGUAY,AMR,24.0,3.0,84.0,11.0
2023-04-23,ECU,ECUADOR,AMR,,,,
2020-09-27,IND,INDIA,SEAR,,,,
2024-06-09,VGB,BRITISH VIRGIN ISLANDS,AMR,0.0,0.0,0.0,0.0
2021-08-08,COM,COMOROS,AFR,,,,
2020-03-15,KAZ,KAZAKHSTAN,EUR,,,,
2020-04-12,ISR,ISRAEL,EUR,415.0,63.0,1777.0,209.0
2022-09-18,IRN,IRAN (ISLAMIC REPUBLIC OF),EMR,,,,
2023-04-30,YEM,YEMEN,EMR,,,,
2025-04-06,KIR,KIRIBATI,WPR,,,,
2024-05-26,VEN,VENEZUELA (BOLIVARIAN REPUBLIC OF),AMR,,,,
2024-08-25,BLZ,BELIZE,AMR,,,,
2025-03-30,NIU,NIUE,WPR,,,,
2022-08-14,LKA,SRI LANKA,SEAR,,,,
2023-09-24,GTM,GUATEMALA,AMR,1.0,1.0,2.0,2.0
2025-02-23,BLZ,BELIZE,AMR,,,,
2020-01-05,FIN,FINLAND,EUR,,,,
2022-06-26,BLR,BELARUS,EUR,,,,
2021-08-15,IRN,IRAN (ISLAMIC REPUBLIC OF),EMR,18854.0,,87540.0,
2023-07-09,BWA,BOTSWANA,AFR,,,0.0,
2023-11-05,BHS,BAHAMAS,AMR,1.0,0.0,3.0,1.0
2024-02-25,SAU,SAUDI ARABIA,EMR,,,,
2023-04-02,CHE,SWITZERLAND,EUR,141.0,,645.0,
2023-05-28,VGB,BRITISH VIRGIN ISLANDS,AMR,0.0,0.0,0.0,0.0
2020-02-23,CPV,CABO VERDE,AFR,,,,
2024-11-03,ISR,ISRAEL,EUR,,,,
2023-06-11,URY,URUGUAY,AMR,11.0,4.0,59.0,17.0
2023-03-26,SVN,SLOVENIA,EUR,,,,
2023-12-17,JPN,JAPAN,WPR,,,,
2021-01-03,MLT,MALTA,EUR,29.0,8.0,131.0,21.0
2023-07-23,ZAF,SOUTH AFRICA,AFR,,,,
2023-04-09,COG,CONGO,AFR,,,,
2021-11-21,KNA,SAINT KITTS AND NEVIS,AMR,1.0,,7.0,0.0
2020-10-04,WLF,WALLIS AND FUTUNA,WPR,,,,
2025-01-05,CPV,CABO VERDE,AFR,,,,
2025-04-13,TUR,TURKEY,EUR,,,,
2020-01-05,MLI,MALI,AFR,,,,
2022-02-20,NOR,NORWAY,EUR,426.0,35.0,1177.0,93.0
2022-02-13,MYT,MAYOTTE,AFR,,,,
2020-05-10,WSM,SAMOA,WPR,,,,
2020-10-11,CZE,CZECHIA,EUR,2201.0,469.0,4847.0,1052.0
2025-01-26,SWZ,ESWATINI,AFR,,,,
2023-05-21,FSM,MICRONESIA (FEDERATED STATES OF),WPR,,,,
2020-04-05,CAF,CENTRAL AFRICAN REPUBLIC,AFR,,,,
2022-04-03,NOR,NORWAY,EUR,261.0,33.0,1631.0,150.0
2025-04-27,GIN,GUINEA,AFR,,,,
2022-05-15,BHS,BAHAMAS,AMR,,,,
2020-11-01,ARM,ARMENIA,EUR,1170.0,,5096.0,
2020-03-01,TKM,TURKMENISTAN,EUR,,,,
2022-10-16,KGZ,KYRGYZSTAN,EUR,,,,
2022-11-20,TUR,TURKEY,EUR,864.0,155.0,2859.0,508.0
2023-07-23,DNK,DENMARK,EUR,30.0,,151.0,
2021-12-19,CYP,CYPRUS,EUR,127.0,25.0,392.0,74.0
